
Region,Province,Url,Bank,BranchCode,Address,PostalCode
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-sabadell-5565.html,Banco Sabadell,5565,Postas 000007 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-sabadell-7316.html,Banco Sabadell,7316,"Postas, 7 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-sabadell-7531.html,Banco Sabadell,7531,Avenida Gasteiz 000057 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-sabadell-7532.html,Banco Sabadell,7532,"Salvatierrabide, 28 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/ibercaja-9864.html,Ibercaja,9864,"Fueros, 12 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/barclays-0016.html,Barclays,0016,Postas 18 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/barclays-0110.html,Barclays,0110,"Postas, 18 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/barclays-0632.html,Barclays,0632,"Postas, 18 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/barclays-1542.html,Barclays,1542,Avenida Gasteiz 50 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/abanca-0637.html,ABanca,0637,"Fueros, 14 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/abanca-0817.html,ABanca,0817,"Ortiz de Zarate, 8 Bajo de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/abanca-1154.html,ABanca,1154,"Reyes Catolicos, 26 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-espana-duero-3222.html,Caja España-Duero,3222,"La Florida, 17 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/oficina-directa-0493.html,Oficina Directa,0493,"Portal de Legutiano, 37-39 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/oficina-directa-0681.html,Oficina Directa,0681,"General Alava, 21 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/oficina-directa-1681.html,Oficina Directa,1681,"General Alava, 21 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-gallego-2220.html,Banco Gallego,2220,"Postas, N. 37 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-circulo-0323.html,Caja Círculo,0323,"Avenida Gasteiz, 60 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-caixa-geral-0065.html,Banco Caixa Geral,0065,"Independencia, 2 de Vitoria-gazteiz.",01000
Álava,Burgos,http://www.iahorro.com/oficinas/burgos/banco-caixa-geral-0150.html,Banco Caixa Geral,0150,"Independencia, 2 de Burgos.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0103.html,Caja Vital,0103,"Paseo de la Biosfera, 6 de Vitoria-gazteiz.",01000
Álava,Batan,http://www.iahorro.com/oficinas/batan/caja-vital-0111.html,Caja Vital,0111,"Salvatierrabide, 16 de Batan.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0112.html,Caja Vital,0112,"Portal de Legutiano, 28-30 de Vitoria-gazteiz.",01000
Álava,Siervas,http://www.iahorro.com/oficinas/siervas/caja-vital-0113.html,Caja Vital,0113,"Siervas de Jesus, 27 de Siervas.",01000
Álava,Samaniego,http://www.iahorro.com/oficinas/samaniego/caja-vital-0114.html,Caja Vital,0114,"Ramiro Maeztu, 14 de Samaniego.",01000
Álava,Panticosa,http://www.iahorro.com/oficinas/panticosa/caja-vital-0115.html,Caja Vital,0115,"Postas, 51 de Panticosa.",01000
Álava,Heraclio,http://www.iahorro.com/oficinas/heraclio/caja-vital-0116.html,Caja Vital,0116,"Heraclio Fournier, 9 de Heraclio.",01000
Álava,Abechuco,http://www.iahorro.com/oficinas/abechuco/caja-vital-0117.html,Caja Vital,0117,"Cristo, 6 de Abechuco.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0119.html,Caja Vital,0119,"Plaza Andagoya, 2 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0120.html,Caja Vital,0120,"Zaramaga, S/n de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0121.html,Caja Vital,0121,"Avenida de Los Huetos, S/n de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0122.html,Caja Vital,0122,"Avenida Gasteiz, 72 de Vitoria-gazteiz.",01000
Álava,Gazalbide,http://www.iahorro.com/oficinas/gazalbide/caja-vital-0125.html,Caja Vital,0125,Centro Comercial Gazalbide de Gazalbide.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0126.html,Caja Vital,0126,"Los Herran, 80 de Vitoria-gazteiz.",01000
Álava,Sansomendi,http://www.iahorro.com/oficinas/sansomendi/caja-vital-0129.html,Caja Vital,0129,"V. de Foronda, 3-5 de Sansomendi.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0132.html,Caja Vital,0132,"Francia, 16 de Vitoria-gazteiz.",01000
Álava,Trianas,http://www.iahorro.com/oficinas/trianas/caja-vital-0135.html,Caja Vital,0135,"Federico Baraibar, 3 de Trianas.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0136.html,Caja Vital,0136,Mercado Plaza de Abastos de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0138.html,Caja Vital,0138,"Pintor Diaz de Olano, 24 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0139.html,Caja Vital,0139,"Portal de Arriaga, 28 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-vital-0140.html,Caja Vital,0140,"Postas, 12-14 de Vitoria-gazteiz.",01000
Álava,Aranzabal,http://www.iahorro.com/oficinas/aranzabal/caja-vital-0141.html,Caja Vital,0141,"Avenida Gasteiz, 20 de Aranzabal.",01000
Álava,Ariznavarra,http://www.iahorro.com/oficinas/ariznavarra/caja-vital-0143.html,Caja Vital,0143,"Castillo de Fontecha, 15 de Ariznavarra.",01000
Álava,Lakua,http://www.iahorro.com/oficinas/lakua/caja-vital-0144.html,Caja Vital,0144,"Pamplona, 1 de Lakua.",01000
